Category,Topic,Ranking
Standing up (3 steps),Look straight in front during all the steps
Standing up (3 steps),Stretch and lock the arms
Standing up (3 steps),Keep the lower part of the body down and relaxed
Standing up (3 steps),Unlock the arms
Standing up (3 steps),Twist the shoulders and roll the hip, maintaining the board balanced
Standing up (3 steps),Keep the feet relaxed
Standing up (3 steps),Back foot: Heel touches the upper part of the other leg's knee
Standing up (3 steps),Keep the other leg straight
Standing up (3 steps),Keep the heel of the back foot on the board, knee pointing up
Standing up (3 steps),Put the back foot perpendicular to the board (90ยบ)
Standing up (3 steps),Don't move the back foot and knee, while moving the front foot
Standing up (3 steps),Pass the front foot below the body, knee between the arms
Standing up (3 steps),Put the front foot in the middle of the board, in between the hands, at a 45ยบ angle
Standing up (3 steps),Rise with the all body and not with the legs first
Standing up (3 steps),Keep the back knee inside
Standing up (3 steps),Knees, hip and shoulders pointing at 45ยบ
Standing up (3 steps),Legs and upper body slightly bent
Standing up (3 steps),Front arm pointing forward
Standing up (3 steps),Back arm high, away from the body, hand next to the head
Standing up (3 steps),The body is relaxed when standing on the board